League;AttackValue;DeffenseValue;ProgressionValue
Bundesliga;4.006602005415779;99.02558635394456;3.989445628997868
La Liga;3.8130889076752768;102.38191881918819;4.221918819188192
Ligue 1;3.394596061316306;87.38703339882122;3.201984282907662
Premier League;4.183590143976835;121.30308880308881;6.530521235521236
Serie A;3.597411017103825;104.143897996357;5.38879781420765
